vrsta,dodjele,primatelji,iznos_eur,udio_iznosa_pct
Program_/_pojedinačna_državne_potpora_obuhvaćena_skupnim_izuzećem,46550,7691,1861395083.14,34.46147416384846
Program_/_pojedinačna_državne_potpora_za_koju_postoji_obveza_prijave_Europskoj_komisiji,1654,853,1531859259.71,28.360517753219895
Program_/_pojedinačna_državne_potpora_za_obavljanje_usluga_od_općeg_gospodarskog_interesa_izuzetog_od_obveze_prijave_Europskoj_komisiji,426,38,1032574396.7,19.11686359142064
Program_/_pojedinačna_potpora_male_vrijednosti,47698,21188,907837749.91,16.807515742823487
Program_/_pojedinačna_državne_potpora_za_obavljanje_usluga_od_općeg_gospodarskog_interesa_o_kojoj_odluku_donosi_Europska_komisija,26,2,67230641.64,1.244693854024518
Program_/_pojedinačna_potpora_male_vrijednosti_za_obavljanje_usluga_od_općeg_gospodarskog_interesa,28,25,328531.38,0.006082360357794042
Program_/_pojedinačna_potpora_male_vrijednosti_za_poljoprivredu,20,14,154076.21,0.0028525343051952904
