izvor,objave,interakcije,doseg,godine_prisutnosti
komarilos.com,587,50586,877596,3
ipress.hr,577,6944,162069,6
kastela.org,573,28799,511455,4
seebiz.eu,572,720,22426,6
klikni.hr,564,24540,400680,5
savjetizadeset.info,558,1630,40446,5
poduckun.net,547,24285,463520,6
hu-benedikt.hr,543,4044,83124,6
radio1.hr,542,3441,128711,6
cityportal.hr,540,34133,452151,6
teleskop.hr,538,146063,2404785,6
hellomagazin.hr,522,6496,268002,3
vjeraufanjeljubav.com.hr,520,22245,631557,3
radiomoslavina.hr,519,5018,142200,6
vecernji.ba,518,3673,1436748,3
agroklub.com,516,24317,771126,6
priznajem.hr,516,206927,3579021,4
biskupijakrk.hr,515,7611,150021,6
glaslike.hr,515,22,954,6
hrvatski-glasnik.com,509,35951,689007,4
radiogornjigrad.blog,507,8958,347166,6
glaspodravine.hr,504,14982,274860,6
radio-djakovo.hr,504,33388,521370,6
radio-banovina.hr,501,47047,675585,5
kckzz.hr,499,2248,43609,6
geopolitika.news,490,89774,1881252,6
srednja.hr,488,33585,854666,6
in-portal.hr,482,8467,163553,6
bug.hr,469,8113,261081,6
vogueadria.com,464,5316,252060,3
moje-djakovo.com,462,38810,495378,6
totalno.hr,460,21116,840330,3
karmel.hr,459,4599,63648,6
zupa-zabok.org,458,5368,123246,6
slavonski.hr,456,13181,502773,6
hop.com.hr,455,37569,830394,6
radiokrizevci.hr,452,14456,233424,5
indirektno.com,448,14489,208953,3
sbonline.net,446,25909,396177,6
tris.com.hr,443,61750,1214572,6
sabh.hr,441,2227,41544,6
balkanlifetoday.info,438,1597,41577,4
radiomarija.hr,437,120,2579,3
novagra.hr,432,2590,48204,6
croative.net,431,10806,1647894,6
zadarskitjednik.hr,431,1749,41229,3
osijeknews.hr,428,14034,268601,6
nasice.com,422,14606,213326,3
lidermedia.hr,419,4091,92510,5
rogotin.hr,419,4710,68040,6
atlantis-travel.hr,416,344,5310,6
gorenjski-soncek.si,415,0,0,1
antikvarijatzz.hr,414,17,2007,6
hedonist-magazin.com,413,2308,68166,5
bjelovar.info,406,15744,255690,3
bloombergadria.com,406,2553,94995,5
crodex.net,404,48567,934755,6
kronikevg.com,400,51989,656289,6
turizmoteka.hr,395,177,4436,6
morh.hr,392,5718,88436,6
politikaplus.com,391,3100,80967,2
kopriva.info,389,1374,35208,3
akademija-art.hr,387,11514,167310,6
pozega.hr,387,621,21455,6
baustela.hr,386,6403,140805,6
mojtv.hr,384,903,241443,6
prijedor24h.net,382,14626,218850,6
mok.hr,378,28094,390186,6
lupiga.com,377,72385,1340595,6
dobardan.info,376,1609,33215,4
casopiskvaka.com.hr,374,7858,218736,6
valpovstina.info,369,9042,146259,3
vinjani.hr,369,13599,321197,6
subtitlecat.com,368,0,574080,3
skac.hr,365,9017,153099,6
rijekadanas.com,361,37891,704184,6
krizevci.info,358,13815,217535,6
dubrovnikpress.hr,357,4482,107037,4
hrvatskiglas-berlin.eu,356,6050,144945,6
makarskadanas.hr,354,18875,367983,5
radiomegaton.hr,353,227,5877,6
posusje.info,350,12384,203866,3
scena.ba,349,4965,403415,4
hrsvijet.net,346,7139,126939,5
kursiljo.com,346,3312,53622,6
rijeka.hr,346,5394,112350,6
gspress.eu,343,8797,263865,2
ofmconv.hr,342,811,13635,4
tunera.info,340,17782,245988,6
osijekexpress.com,337,30034,444498,5
elle.hr,334,4809,87911,6
mojevrijeme.hr,334,27235,478041,6
porestina.info,333,3834,103005,6
krizevci.hr,331,647,13857,6
cronika.hr,329,24612,445387,5
sibenik.hr,328,5673,111401,6
bjelovar.live,323,43173,564930,6
kreacije.info,321,1810,42264,4
stripovi.com,321,456,35415,5
kaj.hr,320,167,1863,6
turistickeprice.hr,318,13262,213948,5
matis.hr,316,1590,33402,5
mirovina.hr,309,25263,681901,6
5portal.hr,307,6917,133751,5
pszupanija.hr,306,749,17253,6
grad-krk.hr,304,781,14841,6
ljubuski.net,303,2031,34185,4
tabor.hr,303,85873,1018119,6
panopticum.hr,302,3862,129356,6
gradonacelnik.hr,301,1626,29223,5
trend.com.hr,300,15607,216261,6
istriaterramagica.eu,299,683,14728,3
radiosamobor.hr,299,9690,137916,4
mvinfo.hr,297,19851,269334,6
veritas.hr,296,240,5904,6
skole.hr,294,611,304155,6
metkovic.hr,291,5568,94122,6
e-hercegovina.com,290,226,8172,5
banjalukain.com,288,15,3789,5
sisakportal.hr,287,16753,550049,6
extravagant.com.hr,286,5132,87098,6
motorsport.hr,283,10,144,5
herons.info,281,2397,135372,3
mixer.hr,281,41186,1372314,6
slunj.hr,280,5,505,6
pakrackilist.hr,278,19228,256354,6
vijestibesplatnoonline.xyz,277,1809,42215,3
book.hr,276,99083,1265139,4
mojzagreb.info,274,1559,51357,3
mraclin.hr,273,11328,172978,6
zupa-svkriz.hr,273,146,6201,6
makarska-danas.com,272,43433,557943,3
svetiste-mbb.hr,272,4602,60446,6
radio-mreznica.hr,270,58804,749142,6
blidinje.net,268,22831,281379,6
nacionalno.hr,267,37075,728226,5
antikvarijat-biblos.hr,265,61,4065,4
sportalo.hr,265,16792,230891,6
cpps.hr,264,2586,38970,6
she.hr,263,11434,233785,6
zanimljivosti.xyz,263,2964,41060,4
cenzurisano.info,261,63,4221,3
lika-express.hr,261,3387,62973,6
prelog.hr,260,93,8223,6
parentium.com,259,6954,144956,6
tomislavcity.com,259,47827,607506,4
historiografija.hr,257,4731,105540,6
chilitours.hr,256,9,917,5
gspress.net,256,20276,292536,4
grazia.hr,255,5643,85818,6
banjaluka-24.com,254,2644,79440,2
hrvatski-vojnik.hr,249,22657,255636,6
medjimurska-zupanija.hr,249,473,9486,6
superportal.hr,249,16748,235872,5
banjaluka24.media,247,3929,87633,3
plavakamenica.hr,247,23147,331731,6
novi-radio.hr,246,1771,35577,6
radio-cakovec.hr,246,68,2862,2
autodana.eu,244,392,90840,2
quirinusportal.com,244,3036,72738,3
studentski.hr,244,3947,148185,6
hdzbih.org,243,174916,7780059,6
compas.com.hr,242,8321,103949,3
imperijal.net,242,836,25146,6
kanal-ri.hr,242,7690,122768,6
sabor.hr,240,1500,28878,6
grabancijas.com,239,44,2458,6
mka.hr,239,9817,323613,6
svijet.hr,237,661,89487,2
tjedno.hr,237,682,24885,6
dubrovnik.hr,235,331,7860,6
stv.hr,235,938,17839,6
zupa-sv-nikole-varazdin.hr,234,0,0,6
p-portal.net,232,10927,176523,6
povijest.hr,228,15558,328026,3
infovodice.com,226,15710,201330,4
noviradio.hr,226,4229,77913,6
caritas.hr,225,580472,9162909,3
h-alter.org,225,7876,126387,4
osmrtnice.hr,225,156,4986,5
eurostarumag.hr,222,2637,54639,6
iusinfo.hr,222,106,19818,5
womeninadria.com,221,11106,310857,6
fama.com.hr,220,974,30222,6
portaloko.hr,220,1615,60717,5
algatravel.hr,219,57,2565,5
svijetkulture.com,217,906,26118,6
totallyglamourous.com,215,7,64653,3
zadarski.hr,215,7238,913714,5
info-ks.net,214,1016,25638,3
rhzk.hr,214,1201,36215,3
zagrebonline.hr,214,1066,33552,6
faktograf.hr,213,22239,539850,6
herceg-bosna.com,213,785,15813,4
jaskadanas.hr,212,7446,112572,6
gospodarski.hr,211,1623,34395,6
press032.com,211,8135,147897,6
pev.com.hr,210,0,0,6
radioorasje.com,210,1451,22851,6
superknjizara.hr,209,43,3658,6
livno-online.com,208,16325,246975,4
zgportal.com,208,1359,46767,6
radio-capljina.com,207,2758,57078,3
isusovci.hr,206,15814,204444,6
mojposao.hr,205,826,85512,3
vpz.hr,205,503,10697,3
