izvor,objave,interakcije,doseg,godine_prisutnosti
freedom.hr,46,0,13800,1
hrz.hr,46,43,819,4
ivanic-grad.hr,46,5,153,6
moderna-galerija.hr,46,104,2790,5
povijest.net,46,1903,33365,3
pozeskivodic.com,46,0,0,1
riprsten.com,46,2507,40653,5
vbtours.hr,46,0,0,1
corpusdomini.hr,45,15,639,5
grude.com,45,1612,22626,2
hrportfolio.hr,45,0,4185,4
knjiznicavirovitica.hr,45,296,8442,3
mojsrbac.info,45,0,0,1
montenegrina.net,45,90,2754,4
opera.news,45,0,54000,2
reci.hr,45,1764,28449,6
indigo-svijet.hr,44,372,10116,5
istra.hr,44,0,528,5
kazup.hr,44,114,2664,4
mi-oracion.com,44,239,12046,3
novska.hr,44,72,1430,6
sinj-news.hr,44,1016,19384,3
uhpa.hr,44,197,5047,5
vidi.hr,44,311,9609,5
xhrvatska.com,44,2,13290,3
yachtscroatia.hr,44,1180,26466,6
kristofori.hr,43,4906,94525,6
lajk.hr,43,550,627674,3
mojaderventa.info,43,0,0,1
newsare.net,43,0,86,5
otoci.eu,43,1194,33530,6
pazin.hr,43,46,1187,3
pleternica.hr,43,2803,32661,5
pressclipping.hr,43,0,0,4
sbplus.hr,43,57,3357,2
visitsplit.com,43,192,8332,6
energreen.hr,42,467,23067,2
fokuspress.com,42,6810,80694,6
mojamodrica.info,42,90,2952,1
mojsamac.info,42,100,4284,1
nekros.info,42,29,729,1
novimilenij.eu,42,267,11583,3
suh.hr,42,325,5625,6
znatko.com,42,12,1296,4
bosnamedia.info,41,2836,70980,2
crveninosovi.hr,41,1071,14373,4
kofertogo.hr,41,0,12300,2
mojbrod.info,41,61,2750,1
molitve.hr,41,2402,54279,4
mozaik-knjiga.hr,41,598,9490,6
novi-vinodolski.hr,41,42,784,5
portal387.com,41,0,12300,1
progressive.com.hr,41,12,504,4
solin.hr,41,2171,29575,6
apartmanija.hr,40,635,9681,4
centarzdravlja.hr,40,1149,20913,6
cool.hr,40,54,1926,6
elitetravel.hr,40,3627,62293,5
kutina.hr,40,47,665,4
mojteslic.info,40,65,2169,1
mreza-mira.net,40,480,13728,2
snv.hr,40,108,1916,5
vicomanija.com,40,0,12000,1
volim-losinj.org,40,25,477,3
x.com.hr,40,0,0,2
zagrebdox.net,40,531,6729,5
365srbija.com,39,30439,370845,3
ceresa.hr,39,698,12276,5
crol.hr,39,1535,30589,6
djurdjevac.hr,39,1025,20835,6
dugirat.com,39,24,342,3
hbz-vijesti.com,39,3475,63423,1
hnd.hr,39,386,8100,6
jakazena.com,39,3455,91338,2
mojprnjavor.info,39,46,1998,1
odraz.hr,39,282,6120,3
pregrada.hr,39,495,21690,6
split.com.hr,39,441,10395,5
udruga2gbr-gromovi.hr,39,6337,79857,4
gorskenovosti.net,38,1663,29007,6
hocuknjigu.hr,38,94,3756,4
jesenski-turk.hr,38,166,3154,5
lider.media,38,195,5157,2
linkedin.com,38,17,513,3
opereta.hr,38,50,2046,5
serbiantimes.info,38,2066,33108,2
sportski.net,38,46,56364,3
superportal.eu,38,0,11400,1
vojni-ordinarijat.hr,38,2,54,5
kinotuskanac.hr,37,0,222,4
pink.rs,37,914,285893,3
portalzdravlje.hr,37,5155,63657,5
womancomm.club,37,40,1404,2
zadovoljna.hr,37,10036,1100026,5
zupa-kraljice-svete-krunice.hr,37,148,2070,5
bh-vijesti.com,36,1333,34677,3
cloudaccess.host,36,79,3663,2
makarska.hr,36,6,90,5
prelistaj.hr,36,0,0,1
scena.hr,36,1391,34155,5
adriatic.hr,35,1,2985,4
cazma.hr,35,234,3474,6
db.hr,35,1072,15084,2
dokumentarni.net,35,1022,16236,4
healthhub.hr,35,502,8046,5
hok.hr,35,53,2118,6
lifebuzz.hr,35,451,20175,3
mojaknjizara.hr,35,40,666,4
scubalife.hr,35,1483,42345,6
unaworld.com,35,49,1629,2
visitrijeka.hr,35,95,2238,5
zabok.hr,35,347,5174,5
art-kino.org,34,0,34,6
geek.hr,34,399,19659,5
portofon.com,34,0,34,3
svijetputovanja.hr,34,4680,51762,6
dijaspora.hr,33,19382,268374,3
djakovo.live,33,6570,276228,3
hrvatskoobrambenostivo.com,33,1141,21834,1
huknet1.hr,33,200,2232,4
konzum.hr,33,377,13608,4
plautilla.hr,33,4082,46098,5
postpress.com.hr,33,26,900,5
roda.hr,33,0,3069,6
sibenska-biskupija.hr,33,598,9486,3
vrlika.hr,33,0,0,6
amcham.hr,32,4,176,4
besttravel.hr,32,64,1656,4
discovercroatia.net,32,1,45,5
nogometplus.net,32,1675,29010,4
posta.hr,32,79523,2608083,6
uhbdr-101br-susedgrad.hr,32,20,486,5
universitas-portal.hr,32,981,22847,2
wall.hr,32,30,582,6
klostar-ivanic.hr,31,15,333,6
netokracija.com,31,1337,25707,6
nova.rs,31,6200,729806,2
ogulin.hr,31,2,85,6
pcekspert.com,31,0,3510,6
preporod.info,31,791,56100,3
vinodol.hr,31,749,12010,5
zagrebi.hr,31,954,24006,3
animafest.hr,30,0,90,4
anketa.plus,30,0,9000,3
bhdinfodesk.com,30,168,4962,2
bjelovarac.hr,30,2844,41620,4
braniteljski-portal.hr,30,3608,67434,3
dvbportal.net,30,185,7191,3
hrsport.hr,30,1787,25173,4
jelenje.hr,30,791,11943,5
ludbreg.hr,30,459,8661,3
medjugorje-news.com,30,62988,865350,5
paluba.info,30,0,240,4
place2go.hr,30,108,3354,5
punkufer.hr,30,2829,353914,6
seharica247.site,30,69451,736773,2
sloboda.hr,30,2192,41612,3
tiramola-media.info,30,2,9090,3
visitjelsa.hr,30,174,1620,4
zaposlena.hr,30,1250,27576,6
abrasmedia.info,29,234,6232,2
dnevno.rs,29,35,76675,2
etours.hr,29,458,19476,5
hrvatska-povijest.hr,29,8211,112959,2
josipdol.hr,29,12,180,3
mixeta.net,29,95,2547,4
nadanasnjidan.net,29,1,5352,2
novostiplus.org,29,13,189,1
otok-krk.org,29,3071,52263,4
posi.hr,29,312,6336,5
sportnews.hr,29,1060,17093,5
xn--titnjaa-o6a36e.hr,29,758,15981,5
072info.com,28,1349,27015,1
biciklijade.com,28,313,9927,6
glam.hr,28,0,0,3
legalis.hr,28,0,546,4
lions.hr,28,155,3439,6
livecamcroatia.com,28,1,1389,5
ogulin.eu,28,941,16749,2
pitomaca.hr,28,27,603,4
plivamed.net,28,0,1680,6
tower-center-rijeka.hr,28,437,8723,6
zaklada-anamarija-carevic.hr,28,1572,34518,3
atmawebshop.com,27,7,285,6
baranjamedija.hr,27,1450,87036,6
marija-bistrica.hr,27,78,2187,4
mdc.hr,27,25,567,5
news-bar.hr,27,0,0,3
opatija.hr,27,156,3708,4
rudan.info,27,29868,366651,6
tisno.hr,27,33280,957348,5
umag.hr,27,1383,19899,5
zupakristakraljatrnje.hr,27,275,6291,1
apoliticni.hr,26,37,1707,4
chic.hr,26,129,2727,5
crikvenica.hr,26,160,2590,6
fitnell.com,26,0,13260,3
kako.hr,26,0,1560,1
kuhinja-zdravlje.xyz,26,252,17286,2
mob.hr,26,52,2154,4
novagradiska.hr,26,0,26,6
petir.eu,26,3012,35082,2
planetofhotels.com,26,0,27300,4
relax-portal.info,26,1567,26709,1
religis.com,26,4519,101279,1
tekstovi.net,26,3,4155,6
vrbovsko.hr,26,70,2276,4
antoniosiber.org,25,843,12202,4
budinscina.hr,25,141,1611,4
digiblogbox.com,25,0,5850,3
gnkdinamo.hr,25,1281,17472,6
htz.hr,25,95,2243,3
jaska.com.hr,25,0,0,2
krk.hr,25,10,675,4
krstarica.com,25,0,0,1
mojasrpska.info,25,122,4701,4
pgz.hr,25,51,792,5
pressmediabih.com,25,648,13554,1
recepti.hr,25,191,4050,2
sat-multimedia.com,25,1,70,4
vox92.net,25,0,575,5
webgradnja.hr,25,2845,112950,4
zapresic.hr,25,38,896,5
bima-shop.hr,24,71,2124,6
blogofoto.com,24,0,8640,4
cro-ponuda.eu,24,28,540,3
globgov.com,24,0,1080,6
gric-gric.com,24,103,2769,4
hnk-split.hr,24,522,11454,4
inverzija.net,24,785,14751,6
kinematografi-osijek.hr,24,0,72,3
knin.hr,24,686,14454,5
licke-novine.hr,24,2,90,3
ludujemo.info,24,0,168,2
menulifestyle.eu,24,260,14904,3
najnovijevijesti.hr,24,3436,61398,2
nasiljudi-gentenostra.hr,24,34,1554,3
solin-info.com,24,0,0,1
tehix.hr,24,16,180,4
trebam.hr,24,25,1821,2
zuhbdrp-rh.hr,24,41,1305,6
crometeo.hr,23,0,46,2
gastronaut.hr,23,475,16921,3
gorica.hr,23,0,69,6
hfs.hr,23,77,842,6
hnk-osijek.hr,23,76,1224,5
hraction.org,23,197,3146,5
hvar.hr,23,198,3106,4
samoprovjereno.com,23,1969,40755,2
schoolandcollegelistings.com,23,0,14490,6
splitv-portal.com,23,502,9216,2
sportklub.hr,23,260,10833,2
tribina.hr,23,0,0,2
wishmama.hr,23,0,46,5
bezcenzure.hr,22,376,9962,5
borba.info,22,58,3738,4
cinestarcinemas.hr,22,230,6372,3
dnz.hr,22,0,0,1
euractiv.hr,22,46,7464,2
hodocasce.eu,22,0,6600,1
identitet.hr,22,342,7830,3
krtice.net,22,6211,72769,1
lokalnahrvatska.hr,22,0,220,2
ns-dubrava.hr,22,1288,21924,4
pdfcoffee.com,22,0,114180,5
samopozitivno.com,22,217,6417,3
saznajemo.info,22,14537,259851,2
vugla.com,22,0,132,3
ampblogs.com,21,0,13860,3
argentum.hr,21,1826,64476,5
bookmark.hr,21,0,6300,1
d-a-z.hr,21,3,141,5
dbblog.net,21,0,5040,2
grenef.hr,21,0,6300,2
hdu.hr,21,27,1059,3
hgu.hr,21,0,126,6
medijskapismenost.hr,21,596,10449,3
opcinakonavle.hr,21,801,14661,6
perzepolis.hr,21,4371,125127,6
poslovnipuls.com,21,0,63,3
ppmhp.hr,21,0,0,4
sibenskikanal.hr,21,0,6300,1
slunj-crkva.hr,21,0,0,1
smart-travel.hr,21,13806,598128,5
svijetsigurnosti.com,21,39,1710,3
svrljig.info,21,883,12327,3
6yka.com,20,11358,187602,1
butua.com,20,20,920,4
e-dijaspora.info,20,905,16373,3
hks-cbf.hr,20,325,5397,6
hrb.hr,20,0,6000,1
huped.hr,20,9,405,6
hura.hr,20,14,258,3
impulsportal.net,20,79,1731,1
ombudsman.hr,20,303,5035,5
reboot.hr,20,177,2565,5
sapunice.net,20,0,520,1
supertelevizija.com,20,276,14136,2
trcanje.net,20,2070,28084,4
trecadobhrvatska.com,20,1058,17970,2
vodice.hr,20,0,40,3
bbz.hr,19,45,921,5
crolinks.eu,19,0,0,1
crosport.hr,19,0,0,4
eojn.hr,19,0,5700,2
eppgroup.eu,19,0,418,5
fdk.hr,19,0,19,6
gong.hr,19,364,8550,3
megabon.eu,19,32,3834,5
novipocetak.com,19,652,11400,2
parkovihrvatske.hr,19,16,312,1
pregled.com.hr,19,1,45,3
progradnja.hr,19,9,405,5
romi.hr,19,63,1701,5
velaluka.hr,19,0,19,5
budica.info,18,0,5400,1
burzanautike.com,18,101,2637,5
cepin.hr,18,196,2754,5
delnice.hr,18,0,0,5
gospari.hr,18,1,28996,2
guerrillagirl.net,18,629,32675,4
hrvatski-izvoznici.hr,18,49,585,3
hrvatskikrsnizavjet.com,18,863,22203,1
infozagreb.hr,18,63565,1477665,5
jakopic-travel.hr,18,47,2115,3
jergovic.com,18,3415,47835,3
kokteli.hr,18,108,1674,4
kostrena.hr,18,88,1206,5
kyrios.hr,18,460,12042,3
opcinalegrad.hr,18,131,1521,4
poliklinika-djeca.hr,18,1074,16578,5
prvenovine.com,18,81,3429,2
radio808.com,18,79,1071,4
radiosibenik.hr,18,10,486,3
regional.ba,18,7,34374,3
sarocosentino.com,18,102,4446,3
skolskaknjiga.hr,18,5644,158130,3
ss-ivana-mestrovica-drnis.hr,18,135,1917,6
ticm.hr,18,107,2727,4
visokoin.com,18,611,36018,4
widblog.com,18,0,5940,3
zamaaero.com,18,2,90,4
24h.ba,17,410,666090,2
automobili.hr,17,3381,51876,4
biobio.hr,17,38,888,4
braniteljski.hr,17,1793,23893,3
dblog.hr,17,1665,18746,5
ffa.hr,17,618,12312,5
gameperspectives.hr,17,96,2592,5
hanfa.hr,17,1,147,3
itbizcrunch.com,17,0,0,4
mvep.hr,17,17,2709,1
npkrka.hr,17,28,871,3
pcchip.hr,17,230,7344,5
radoboj.hr,17,0,51,3
slideshare.net,17,1,846645,3
travnicki.info,17,1641,18252,5
autopress.hr,16,368,12786,5
bhanalitika.com,16,0,4800,1
bitcoin.com,16,0,60000,1
energypress.net,16,27,315,5
federalna.ba,16,297,146714,1
get4u.hr,16,112,3312,3
itnovosti.com,16,0,32,4
lzmk.hr,16,40,2310,5
print-magazin.eu,16,23,1095,3
roditelji.hr,16,377,34545,3
sv-mihovil.hr,16,612,8060,5
tvarenasport.hr,16,181,3795,3
tvloki.eu,16,0,4800,1
ulaznice.hr,16,103,3740,6
vesti-online.com,16,94,42910,3
vidilab.com,16,0,96,5
zvono.eu,16,6275,248587,3
adrijanaputovanja.hr,15,0,0,4
afroditacosmetics.com,15,3061,103932,3
agenparl.eu,15,0,315,3
agroportal.hr,15,97,4176,5
ampeu.hr,15,870,21168,3
bednja.hr,15,0,15,6
bhinfoportal.com,15,175,7110,1
biblija-govori.hr,15,187,6603,4
budim.info,15,10533,385245,2
covermagazin.com,15,20,738,2
e-zupe.com,15,700,9756,2
glosbe.com,15,1020,123696,4
gorazdeonline.com,15,101,2781,3
hdlu.hr,15,106,2334,5
hzjz.hr,15,286,7407,5
informer.ba,15,136,48810,1
mediadesk.hr,15,48,1872,3
mrdealfinder.com,15,47,2130,2
nacelnik.net,15,48,2124,2
nocknjige.hr,15,1,75,5
projektvelebit.com,15,19464,299946,3
ringeraja.hr,15,0,45,3
smartphonehrvatska.com,15,39,1719,3
stampar.hr,15,40,1548,2
stin.hr,15,92,1524,3
sv-antun.hr,15,1423,21729,1
svjetlo.com,15,0,0,4
tvz.hr,15,0,285,3
virje.hr,15,44,732,5
voda.hr,15,2,180,4
vrhbosanska-nadbiskupija.org,15,89,2097,3
cantus.hr,14,0,0,4
cekate.hr,14,35,531,6
centarzabave.com,14,0,0,3
cik-media.com,14,711,15177,2
citajknjigu.com,14,473,7221,4
epoha.com.hr,14,3510,66450,3
epostshop.hr,14,0,28,4
fenserka.com,14,2,89745,3
flash.hr,14,172,4096,3
foozos.hr,14,0,14,4
fpzg.hr,14,0,0,4
gkmm.hr,14,151,3507,5
ida.hr,14,58,864,5
jabuka.tv,14,19,1583,2
krizevci.eu,14,0,0,1
mediadaily.biz,14,206,4066,5
opcina-svfilipjakov.hr,14,0,0,4
povcast.hr,14,375,5697,2
principmagazin.com,14,0,4200,1
redea.hr,14,0,0,4
salesiana.hr,14,11672,255150,5
scribd.com,14,356,772230,4
slobodna.dalmacija,14,45133,592031,2
slobodnalika.com,14,0,210,1
srpskatelevizija.com,14,925,34563,3
ssf.hr,14,630,7218,1
tz-krk.hr,14,79,2817,4
vguk.hr,14,0,14,4
zagrebdanas.hr,14,0,28,1
zgsport.hr,14,4,150,3
zna.hr,14,0,14,2
agrobiz.hr,13,88,2474,2
ahmadiyya-islam.org,13,366,9032,3
algebra.hr,13,27,1221,3
crvenikrizzupanja.hr,13,408,17478,5
czk-jastrebarsko.hr,13,0,0,3
dijasporainfo.net,13,1306,25914,2
drumtidam.info,13,262,6915,2
economiafinanzas.com,13,0,377,1
gkka.hr,13,185,4368,4
glazba.hr,13,3664,39941,3
grad-vodice.hr,13,33,922,5
haus.hr,13,313,9255,3
hpd-mosor.hr,13,0,0,4
htportal.eu,13,2474,29520,3
ids-ddi.com,13,51,1377,4
ifzg.hr,13,113,2259,5
imotska-krajina.hr,13,0,3900,1
infomediabalkan.com,13,64,2880,3
ivan.anusic.hr,13,8822,10664,3
korcula.hr,13,4,222,5
likaportal.com,13,0,3900,1
maglaj.net,13,213,3843,3
mojaljekarna.hr,13,1,513,2
motors.com.hr,13,0,78,3
novalja.hr,13,56,828,5
oskatancic.hr,13,184,4518,5
prijatelji-zivotinja.hr,13,10,528,3
promina.hr,13,0,0,5
prostoria.eu,13,0,117,1
qoshe.com,13,126,4659,1
radiobobovac.com,13,0,0,1
ramiro.hr,13,119,3123,4
savjetnica.com,13,0,0,3
stari-grad.hr,13,51,1521,5
svijetkladjenja.com,13,260,7118,5
tzdubrovnik.hr,13,0,13,3
vjera.hr,13,34031,421605,2
zeljeznice.net,13,10,427,4
ami-pula.hr,12,0,0,2
assemblio.hr,12,2,54,2
bajtbox.com,12,283,7839,4
bandcamp.com,12,305,164601,5
biogradnamoru.hr,12,14,270,4
boljiposao.com,12,0,72,5
chicita.eu,12,150,2970,2
cosmopolitan.hr,12,474,9450,2
digitalnademokracija.com,12,851,16371,4
dizajn.hr,12,1014,11832,2
dobarzivot.net,12,146,1692,3
dura.hr,12,0,0,3
europesays.com,12,0,3600,1
fena.agencija,12,51,2143,3
glazbeni.info,12,30,1362,5
hrhb.info,12,1,9,2
infozona.hr,12,81,1911,5
jammark.hr,12,6,246,3
moja-djelatnost.hr,12,1,549,3
nmz.hr,12,11,459,5
oznaci.net,12,214,8352,3
plivazdravlje.hr,12,0,2592,3
portos.hr,12,0,3600,1
poslovnojutro.com,12,0,0,3
pouvg.hr,12,0,60,3
prometej.ba,12,4140,174696,3
radioval.hr,12,45,441,3
rasa.hr,12,26,306,4
rk-podravka.hr,12,488,7734,3
savjetodavna.hr,12,0,576,2
sport.tportal.hr,12,237,26262,1
trilj.hr,12,0,12,5
tzg-krapina.hr,12,0,0,4
zeneinovac.com,12,1367,16947,3
zupa-kompolje.hr,12,8,360,1
zv.hr,12,1,81,4
alfa.hr,11,0,99,1
cineplexx.hr,11,287,3150,3
croatia.org,11,54,1372,4
doliatravel.hr,11,0,0,4
domovinskirat.hr,11,12017,134637,4
dubrovackidnevnik.hr,11,0,0,1
duhos.com,11,1451,60903,2
eurovilla.hr,11,4,246,5
exxxperiment.net,11,203,4358,4
feral.news,11,542,7434,3
futura-dent-estetica.hr,11,0,3300,1
gordan.grlic.radman,11,849,3894,1
gorgonija.com,11,235,4833,3
hajduk.hr,11,3146,33912,3
hns-cff.hr,11,1597,17328,3
humnasutli.hr,11,5,200,4
ipu.hr,11,64,666,5
jankovac.hr,11,511,10305,4
klimakoncept.hr,11,0,297,1
knjiga-znanja-veda.hr,11,522,11232,1
kutjevo.hr,11,5,189,5
lyricstranslate.com,11,0,51480,5
marija-gorica.hr,11,0,22,6
mgz.hr,11,11,423,3
miportal.hr,11,931,19161,3
motori.hr,11,0,297,6
msf.hr,11,42,1242,4
murter.hr,11,1,67,4
mytravel.hr,11,60,1656,3
opcina-dubrava.hr,11,0,0,5
orto-nova.hr,11,576,16204,2
portal-novosti.info,11,0,0,2
poslovnaucinkovitost.hr,11,0,22,3
rgk.hr,11,31,333,3
sandorf.hr,11,102,2012,4
spicum.com,11,0,561,1
svetanedelja.hr,11,5,146,3
top-lista.hr,11,0,11,3
umrli-neretva.com,11,38,4344,1
vern.hr,11,29,507,3
vozim.hr,11,0,0,4
womenonwine.com.hr,11,226,4842,4
zlatar.hr,11,162,2538,5
academia.edu,10,0,390000,5
ajme.hr,10,0,3000,1
antifasisticki-vjesnik.org,10,1954,24234,4
arhiv.hr,10,9,399,6
autoklub.net,10,0,3000,1
balkoteka24h.club,10,382,14768,1
bosnapress.net,10,64,1828,2
cakoveconline.com,10,0,0,2
croatiaweek.com,10,342,6168,2
czkvl.hr,10,3,63,3
despot-infinitus.com,10,920,12756,3
dijete.hr,10,0,0,3
dnevnadoza.net,10,662,15146,3
eventim.hr,10,210,25386,3
fratar.net,10,27,1181,2
gavella.hr,10,13,253,5
glasnilo.com,10,0,3000,1
gospic.hr,10,118,1476,3
hipsb.hr,10,132,3700,3
hrzz.hr,10,233,2837,4
hzinfra.hr,10,15,659,3
istinomprotivlazi.info,10,54848,1167030,1
knjigolov.hr,10,698,13638,5
krsan.hr,10,1,45,4
ljekarna-pablo.hr,10,20,948,2
ljiljan.ba,10,14238,563230,2
mali-losinj.hr,10,0,0,1
manjgura.hr,10,318,4560,3
nezavisniportalsirokopolje.hr,10,268,4536,2
noviplamen.net,10,417,7111,2
omis.hr,10,5745,93295,4
orioninfovk.com,10,0,10,1
pakostane.hr,10,0,0,1
porin.hr,10,49,909,2
projekti.hr,10,34,630,3
radnickafronta.hr,10,1351,21367,2
srcelutajuce.com,10,759,14913,3
stotinka.hr,10,56,1204,4
subsite.hr,10,66,2790,5
tinktura.com,10,1197,24149,1
tvnova.hr,10,0,0,3
tz-fuzine.hr,10,10,406,4
vinarija.com,10,1,55,4
yoga-in-daily-life.hr,10,1373,17325,6
zgprsten.hr,10,62,1548,1
zupagospavangrada-sibenik.hr,10,232,6588,1
artmagazin.info,9,39,1062,3
aurodomus.hr,9,162,6345,3
bengeri.com,9,3422,40905,3
blaga.hr,9,2008,25758,2
cafe.hr,9,86,3411,4
cibalia.info,9,0,27,1
coolinarika.com,9,646,13122,3
ctr.hr,9,43,1566,3
cybermed.hr,9,2,729,3
dnevnebih.online,9,0,2700,1
eu-krka-knin.hr,9,0,0,4
eu-projekti.info,9,9,495,3
ezblogz.com,9,0,2970,4
futura-it.hr,9,0,9,2
gp1.hr,9,245,3951,3
hdlu-rijeka.hr,9,13,441,4
hztk.hr,9,0,81,3
infokg.rs,9,162,20211,2
jajce-online.com,9,974,11529,1
karla.hr,9,0,0,3
karlovac.hr,9,0,162,6
kastav.hr,9,0,9,3
kladionica.biz,9,239,4383,3
klubikon.com,9,2491,34821,3
ljubusaci.com,9,108,2439,2
mojusk.ba,9,59,37717,1
most-hrvatska.hr,9,1327,13761,5
ngbuntovnici.hr,9,388,7956,2
opcina-kiseljak.org,9,0,0,3
paraf.hr,9,6630,108234,2
pbz.hr,9,0,2592,2
portal-ostro.hr,9,1306,20142,4
pou-zelina.hr,9,0,0,4
proteka.hr,9,261,11466,4
provjeri.hr,9,939,20646,3
putovnica.net,9,0,1647,3
samobor.hr,9,17,297,2
sdss.hr,9,34,360,3
skolski-sport.hr,9,224,3996,4
studenci.hr,9,0,0,4
tacno.net,9,339,51160,3
uik.hr,9,0,0,4
veleri.hr,9,0,18,2
vidiauto.com,9,2,171,4
vijesti.ba,9,132,5004,2
www.hr,9,0,9,1
zadardanas.hr,9,44,972,1
zenstvena.com,9,0,486,3
zgf.hr,9,597,8298,5
aktivirajkarlovac.net,8,741,11475,3
babycenter.hr,8,225,8691,3
balcanicaucaso.org,8,6,570,3
bhdijaspora.net,8,2903,43641,1
bikemagazin.info,8,297,4877,5
boks-savez.hr,8,355,6081,4
cirkus.hr,8,0,0,3
cizmicatv.com,8,20786,267126,2
cropc.net,8,261,2919,4
dhkp.hr,8,0,0,2
doka.com,8,0,360,4
ecommerce.hr,8,92,2460,3
educentar.net,8,0,72,4
ezadar.hr,8,76,33796,1
futsal-dinamo.hr,8,695,7865,2
gku-bcu.hr,8,40,810,5
glasnik.eu,8,0,2400,2
gossip-vijesti.com,8,19,459,2
grad.opatija,8,166,935,1
gtocka.com,8,50,2096,2
hde.hr,8,0,0,3
hifimedia.hr,8,918,10026,4
hkdrustvo.hr,8,156,3410,3
institutfrancais.hr,8,20,880,4
irmo.hr,8,28,1150,4
knjiznica-koprivnica.hr,8,0,0,5
komunalac-kc.hr,8,2,96,4
koronavirus.hr,8,58,1764,1
kultura-crikvenica.hr,8,91,1071,2
lg.com,8,0,81120,1
nestle.hr,8,7,339,4
nula49.com,8,1227,62780,2
ognjiste.hr,8,81,2069,2
opuzen.hr,8,125,1683,3
plemenit.hr,8,63,2091,4
popusti.hr,8,0,0,2
rssing.com,8,0,28080,6
scardona.hr,8,7107,314513,3
shazam.com,8,69,38481,3
srednjabosna.ba,8,3329,148980,4
svijetosiguranja.eu,8,26,934,1
telesport.hr,8,289,25311,2
temu.com,8,0,0,4
tera.hr,8,28,396,3
thedubrovniktimes.com,8,59,1863,3
tockazarez.hr,8,430,9330,3
trudnoca.net,8,0,8,1
univerzal-djakovo.hr,8,0,0,4
yihr.hr,8,74,1710,3
zamp.hr,8,56,1320,4
zdici.info,8,933,12261,1
zelena-istra.hr,8,30,342,3
zse.hr,8,0,136,3
adekvatnateologija.com,7,617,13275,2
alternativa.hr,7,54,1533,3
ams.hr,7,0,42,3
aquilia.hr,7,0,0,1
arijainfo.net,7,18,2766,1
bhclubbing.com,7,57,2471,1
blackouthiphop.com,7,343,6179,4
bogumili.hr,7,138,2340,3
bol.hr,7,0,0,4
brac-online.com.hr,7,0,0,2
crorec.net,7,7184,320532,4
dentusperfectus.hr,7,0,0,4
dnevnevijestibih.com,7,0,2100,1
doba.hr,7,0,7,3
dobrevijesti.org,7,139,5643,1
durieux.hr,7,57,1125,4
eistra.info,7,21,320,4
eklinika.hr,7,0,0,1
gay-serbia.com,7,2,300,4
gkzd.hr,7,54,1212,4
gretta-online.com,7,0,0,1
hairstyle-news.hr,7,136,3312,4
hakom.hr,7,0,91,3
heretica.com.hr,7,954,13417,4
hho.hr,7,0,0,4
hnb.hr,7,71,3012,4
hrvatskaapartmani.hr,7,0,21,1
ht.hr,7,0,182,2
hzn.hr,7,0,105,4
ifimes.org,7,61,1565,3
ignacije.hr,7,722,13896,3
juginfo.hr,7,86,3324,1
juzni.hr,7,40,1080,1
kardio.hr,7,130,5461,3
kladionica.eu,7,0,0,2
kras.hr,7,203,3240,3
kuctravno.hr,7,9,225,4
mandispharmljekarne.hr,7,0,0,2
megathemes.info,7,0,7,1
mhz.hr,7,0,42,3
mladez-hdzbih.org,7,0,0,4
mmsu.hr,7,5,174,3
muzej-koprivnica.hr,7,0,0,2
mycity-military.com,7,0,1323,2
nepopularna.org,7,620,9619,6
nk-rijeka.hr,7,93,1278,3
nomadi.hr,7,19,657,3
nsz.hr,7,15,681,3
obrtnici-zagreb.hr,7,136,2286,4
podravinaiprigorje.hr,7,0,0,2
popodnevnik.hr,7,14,2352,3
portal-zdravlja.com,7,1244,24352,2
redakcija.hr,7,1373,20574,1
risnjak.hr,7,0,0,4
sindikatpolicije.hr,7,1,73,3
split-techcity.com,7,113,3875,2
sportske-kladionice.com,7,30,867,3
supermame.hr,7,814,9747,3
szp.hr,7,0,0,2
t.me,7,0,0,3
tme.eu,7,0,7350,3
tomislav.jonjic,7,606,577,1
tribun.hr,7,1850,32010,1
tumblr.com,7,0,42,1
tzosijek.hr,7,0,0,2
udruga-let.hr,7,1,45,4
uhov.hr,7,0,7,3
vasezdravlje.com,7,0,441,1
visovac.hr,7,0,0,1
zabavninet.info,7,14,636,1
zelina.hr,7,45,531,4
adhara.hr,6,0,6,2
alkemijazivota.com,6,4086,62802,2
aloalo.hr,6,0,18,2
alternativa-za-vas.com,6,229,5337,3
art-rasvjeta.hr,6,0,12,3
autokreso.hr,6,0,108,3
basketball.hr,6,323,5031,3
bih-index.com,6,0,1800,1
bihvijesti.com,6,45,1665,1
biom.hr,6,0,66,3
blogolize.com,6,0,3240,4
cakovec.hr,6,32,486,1
cekor.org,6,0,6,2
centarzlata.com,6,27,453,4
cinestartvchannels.hr,6,0,90,4
ctk-rijeka.hr,6,0,0,2
czk-cepin.hr,6,0,0,1
dnevnik.ba,6,165,25806,1
domoljubni.hr,6,114,3240,1
dubrovnik-policija-91.com,6,436,5112,2
dubrovniktv.net,6,0,150,3
ekvarner.info,6,0,36,3
elipso.hr,6,0,378,3
elitesecurity.org,6,0,0,1
etnoportal.com,6,80,2052,1
forumcroatian.com,6,0,54,4
gayecho.com,6,166,3996,3
geografija.hr,6,17,231,3
globuya.com,6,0,1512,3
h-r-z.hr,6,0,0,1
harfa.hr,6,240,10410,1
helpmedix.com,6,0,1800,2
hismus.hr,6,2,54,2
hnip.hr,6,0,0,1
